time,open,high,low,close,volume
2022-05-26 20:00:00,266.08,266.1,266.08,266.0801,915
2022-05-26 19:59:00,265.99,266.0,265.99,266.0,567
2022-05-26 19:58:00,265.9,265.9,265.9,265.9,633
2022-05-26 19:53:00,265.9,265.9,265.9,265.9,500
2022-05-26 19:49:00,265.99,265.99,265.99,265.99,326
2022-05-26 19:48:00,265.93,265.95,265.93,265.95,680
2022-05-26 19:47:00,265.9,265.9,265.9,265.9,118
2022-05-26 19:46:00,265.9,265.9,265.9,265.9,432
2022-05-26 19:43:00,265.85,265.85,265.85,265.85,434
2022-05-26 19:40:00,265.75,265.75,265.75,265.75,2033
2022-05-26 19:34:00,265.75,265.75,265.75,265.75,270
2022-05-26 19:17:00,265.5,265.5,265.5,265.5,130
2022-05-26 19:12:00,265.7,265.7,265.7,265.7,1460
2022-05-26 19:11:00,265.7,265.7,265.7,265.7,725
2022-05-26 19:07:00,265.67,265.67,265.67,265.67,150
2022-05-26 19:06:00,265.6,265.6,265.6,265.6,939
2022-05-26 19:05:00,265.5301,265.57,265.5301,265.57,303
2022-05-26 19:03:00,265.58,265.6,265.58,265.6,800
2022-05-26 18:54:00,265.69,265.69,265.69,265.69,149
2022-05-26 18:49:00,265.4001,265.4001,265.4001,265.4001,1301
2022-05-26 18:48:00,265.48,265.48,265.48,265.48,102
2022-05-26 18:46:00,265.56,265.56,265.56,265.56,338
2022-05-26 18:42:00,265.45,265.45,265.39,265.39,384
2022-05-26 18:38:00,265.44,265.45,265.44,265.45,300
2022-05-26 18:37:00,265.18,265.35,265.16,265.16,3990
2022-05-26 18:36:00,265.62,265.62,265.62,265.62,1106
2022-05-26 18:30:00,265.72,265.72,265.69,265.69,290
2022-05-26 18:28:00,265.8,265.8,265.7,265.7,771
2022-05-26 18:27:00,265.97,265.97,265.95,265.95,1763
2022-05-26 18:26:00,266.07,266.08,266.07,266.08,540
2022-05-26 18:25:00,265.9,265.9,265.9,265.9,2945
2022-05-26 18:24:00,265.8,265.9,265.8,265.9,1631
2022-05-26 18:20:00,265.74,265.75,265.74,265.75,383
2022-05-26 18:19:00,265.62,265.62,265.62,265.62,318
2022-05-26 18:18:00,265.52,265.52,265.52,265.52,499
2022-05-26 18:15:00,265.18,265.44,265.18,265.44,482
2022-05-26 18:11:00,265.44,265.44,265.41,265.41,1610
2022-05-26 17:55:00,265.3,265.3,265.3,265.3,101
2022-05-26 17:47:00,265.2,265.2,265.2,265.2,176
2022-05-26 17:46:00,265.2008,265.2008,265.2008,265.2008,101
2022-05-26 17:45:00,265.2018,265.2018,265.2,265.2,440
2022-05-26 17:42:00,265.2013,265.2013,265.2013,265.2013,636
2022-05-26 17:39:00,265.3,265.3,265.3,265.3,156
2022-05-26 17:33:00,265.38,265.38,265.38,265.38,317
2022-05-26 17:31:00,265.37,265.38,265.37,265.38,323
2022-05-26 17:30:00,265.25,265.25,265.25,265.25,103
2022-05-26 17:24:00,265.2508,265.2508,265.2508,265.2508,562
2022-05-26 17:15:00,265.39,265.39,265.39,265.39,345
2022-05-26 17:10:00,265.25,265.25,265.25,265.25,1094
2022-05-26 17:04:00,265.3182,265.3182,265.3182,265.3182,131
2022-05-26 16:46:00,265.15,265.15,265.15,265.15,415
2022-05-26 16:42:00,265.0612,265.0612,265.0612,265.0612,571
2022-05-26 16:41:00,265.0,265.04,265.0,265.04,692
2022-05-26 16:40:00,265.0,265.0,265.0,265.0,4483
2022-05-26 16:39:00,265.0,265.0,265.0,265.0,589
2022-05-26 16:38:00,264.1,264.1,264.1,264.1,615
2022-05-26 16:37:00,265.01,265.06,264.0,265.06,6258
2022-05-26 16:34:00,265.0,265.0,264.96,264.96,1208
2022-05-26 16:33:00,265.2,265.2,265.0,265.0,4806
2022-05-26 16:32:00,265.2,265.9,265.15,265.9,751
2022-05-26 16:31:00,265.18,265.9,265.17,265.17,27069
2022-05-26 16:30:00,265.23,265.23,265.23,265.23,222
2022-05-26 16:29:00,265.2,265.2,265.2,265.2,288
2022-05-26 16:28:00,265.36,265.36,265.25,265.27,979
2022-05-26 16:26:00,265.25,265.25,265.25,265.25,3287
2022-05-26 16:25:00,265.25,265.25,265.25,265.25,917
2022-05-26 16:24:00,265.41,265.41,265.25,265.25,1729
2022-05-26 16:23:00,265.25,265.34,265.25,265.34,2036
2022-05-26 16:22:00,265.9,265.9,265.9,265.9,2130
2022-05-26 16:21:00,265.25,265.25,265.25,265.25,413
2022-05-26 16:20:00,265.26,265.26,265.25,265.25,3797
2022-05-26 16:19:00,265.35,265.35,265.2601,265.2601,722
2022-05-26 16:18:00,265.4,265.4,265.35,265.35,372
2022-05-26 16:17:00,265.45,265.45,265.35,265.4,74292
2022-05-26 16:16:00,265.9,265.9,265.9,265.9,9107
2022-05-26 16:14:00,265.9,265.9,265.9,265.9,6730
2022-05-26 16:13:00,265.5,265.5,265.5,265.5,268
2022-05-26 16:11:00,265.5,265.5,265.5,265.5,2044
2022-05-26 16:10:00,265.5,265.5,265.5,265.5,543
2022-05-26 16:09:00,265.4999,265.9,265.4,265.4,27857
2022-05-26 16:08:00,265.52,265.52,265.5,265.5,3328
2022-05-26 16:07:00,265.59,265.6,265.52,265.6,6273
2022-05-26 16:06:00,265.9,265.9,265.4326,265.59,132981
2022-05-26 16:04:00,265.6,265.6,265.6,265.6,2669
2022-05-26 16:03:00,265.84,265.84,265.49,265.5,16463
2022-05-26 16:02:00,265.9,265.9,265.85,265.9,282378
2022-05-26 16:01:00,265.9,266.04,265.89,265.9,222946
2022-05-26 16:00:00,265.98,266.12,265.64,265.86,552893
2022-05-26 15:59:00,265.9,266.04,265.77,265.99,259980
2022-05-26 15:58:00,266.04,266.04,265.66,265.89,172565
2022-05-26 15:57:00,265.95,266.2,265.85,266.02,158288
2022-05-26 15:56:00,265.88,266.14,265.76,265.95,174920
2022-05-26 15:55:00,266.08,266.38,265.75,265.86,216546
2022-05-26 15:54:00,266.13,266.26,266.0,266.09,94242
2022-05-26 15:53:00,265.92,266.34,265.73,266.12,135845
2022-05-26 15:52:00,266.31,266.34,265.88,265.92,119897
2022-05-26 15:51:00,266.74,267.11,266.16,266.325,298083
2022-05-26 15:50:00,266.55,266.73,266.55,266.705,98083
2022-05-26 15:49:00,266.33,266.555,266.23,266.545,84694
2022-05-26 15:48:00,266.4,266.5,266.17,266.33,100086
2022-05-26 15:47:00,266.08,266.49,265.99,266.4,85454
2022-05-26 15:46:00,266.155,266.3597,266.0,266.07,90834
2022-05-26 15:45:00,266.04,266.17,265.975,266.1572,46522
2022-05-26 15:44:00,265.78,266.02,265.765,266.0,84409
2022-05-26 15:43:00,265.83,265.83,265.72,265.785,47448
2022-05-26 15:42:00,265.6077,265.82,265.51,265.82,47175
2022-05-26 15:41:00,265.52,265.73,265.44,265.61,57183
2022-05-26 15:40:00,265.34,265.533,265.21,265.5091,56235
2022-05-26 15:39:00,265.145,265.475,265.145,265.36,64821
2022-05-26 15:38:00,265.09,265.25,265.08,265.148,55162
2022-05-26 15:37:00,265.05,265.13,265.0,265.11,52740
2022-05-26 15:36:00,265.2254,265.28,264.98,265.07,44025
