N,map,L,latency,band,timesing,k,c,tc,P(L_N) (estimated),P(L_N) real,P(L_1)*n/P(L_N) (estimated),P(L_1)*N/P(L_N) (real)
4,socket,600,0.47,5673.19,1.8392,1,5.4932,0.001,447.7722,445.741,1.0005,1.0051
8,socket,600,0.47,5673.19,1.8392,1,5.4932,0.001,895.5443,889.023,1.0005,1.0079
12,socket,600,0.47,5673.19,1.8392,1,5.4932,0.001,1343.3165,1335.57,1.0005,1.0063
4,core,600,0.19,6153.98,1.8392,1,5.4932,9e-04,447.7906,446.305,1.0005,1.0038
8,core,600,0.19,6153.98,1.8392,1,5.4932,9e-04,895.5813,888.34,1.0005,1.0086
12,core,600,0.19,6153.98,1.8392,1,5.4932,9e-04,1343.3719,1308.06,1.0005,1.0275
12,node,600,0.98,12187.1,1.8392,1,5.4932,5e-04,1343.694,1334.59,1.0002,1.0071
24,node,600,0.98,12187.1,1.8392,1,5.4932,5e-04,2687.388,2644.2,1.0002,1.0166
48,node,600,0.98,12187.1,1.8392,1,5.4932,5e-04,5374.7759,5236.58,1.0002,1.0266
